iteration,best_cost
1,22.0606
2,19.5774
3,19.3781
4,19.3781
5,19.0059
6,18.7640
7,18.7640
8,18.7640
9,18.7640
10,18.7640
11,18.7640
12,18.7640
13,18.7640
14,18.7640
15,18.7640
16,18.7640
17,18.7640
18,18.7171
19,18.7171
20,18.7171
21,18.7171
22,18.7171
23,18.7171
24,18.7171
25,18.7171
26,18.7171
27,18.7171
28,18.7171
29,18.7171
30,18.7171
31,18.7171
32,18.7171
33,18.7171
34,18.7171
35,18.7171
36,18.7171
37,18.7171
38,18.7171
39,18.7171
40,18.7171
41,18.7171
42,18.7171
43,18.7171
44,18.7171
45,18.7171
46,18.7171
47,18.7171
48,18.7171
49,18.7171
50,18.7171
51,18.7171
52,18.7171
53,18.7171
54,18.7171
55,18.7171
56,18.7171
57,18.7171
58,18.7171
59,18.7171
60,18.7171
61,18.7171
62,18.7171
63,18.7171
64,18.7171
65,18.7171
66,18.7171
67,18.7171
68,18.7171
