iteration,medium-11,large-15
1,1.08112,1.09307
2,1.02092,1.09307
3,1.00443,1.09199
4,1.00000,1.05699
5,1.00000,1.05699
6,1.00000,1.04820
7,1.00000,1.03520
8,1.00000,1.03520
9,1.00000,1.00522
10,1.00000,1.00522
11,1.00000,1.00522
12,1.00000,1.00000
13,1.00000,1.00000
14,1.00000,1.00000
15,1.00000,1.00000
16,1.00000,1.00000
17,1.00000,1.00000
18,1.00000,1.00000
19,1.00000,1.00000
20,1.00000,1.00000
21,1.00000,1.00000
22,1.00000,1.00000
23,1.00000,1.00000
24,1.00000,1.00000
25,1.00000,1.00000
26,1.00000,1.00000
27,1.00000,1.00000
28,1.00000,1.00000
29,1.00000,1.00000
30,1.00000,1.00000
31,1.00000,1.00000
32,1.00000,1.00000
33,1.00000,1.00000
34,1.00000,1.00000
35,1.00000,1.00000
36,1.00000,1.00000
37,1.00000,1.00000
38,1.00000,1.00000
39,1.00000,1.00000
40,1.00000,1.00000
41,1.00000,1.00000
42,1.00000,1.00000
43,1.00000,1.00000
44,1.00000,1.00000
45,1.00000,1.00000
46,1.00000,1.00000
47,1.00000,1.00000
48,1.00000,1.00000
49,1.00000,1.00000
50,1.00000,1.00000
51,1.00000,1.00000
52,1.00000,1.00000
53,1.00000,1.00000
54,1.00000,1.00000
55,,1.00000
56,,1.00000
57,,1.00000
58,,1.00000
59,,1.00000
60,,1.00000
61,,1.00000
62,,1.00000
