set,n,fraction,budget_min,total_score,greedy_score,aco_mean,aco_std,aco_stops,aco_time_ms,exact_score
small-5,6,0.25,48.78,29.50,8.6909,9.8680,0.0000,1.00,3.01,9.8680
small-5,6,0.5,97.57,29.50,18.5589,19.1197,0.6868,2.40,4.83,19.9609
small-5,6,0.75,146.35,29.50,24.2617,24.2617,0.0000,3.00,6.36,25.6637
medium-8,9,0.25,72.18,38.88,18.5589,18.5589,0.0000,2.00,5.47,18.5589
medium-8,9,0.5,144.36,38.88,24.2617,25.7167,1.1004,4.00,9.15,27.5631
medium-8,9,0.75,216.53,38.88,32.1010,33.7331,0.2658,6.00,14.34,34.5304
medium-9,10,0.25,79.33,41.67,18.5589,18.5589,0.0000,2.00,6.57,18.5589
medium-9,10,0.5,158.67,41.67,27.0510,27.6436,0.2049,4.30,12.26,27.9417
medium-9,10,0.75,238.00,41.67,33.4884,35.7240,0.8807,6.70,17.71,36.4338
medium-10,11,0.25,90.14,42.70,18.5589,18.5589,0.0000,2.00,8.04,
medium-10,11,0.5,180.28,42.70,27.0510,30.5951,0.1588,5.00,13.65,
medium-10,11,0.75,270.41,42.70,36.4338,37.5838,0.1650,7.30,20.96,
medium-11,12,0.25,97.89,49.47,18.5589,19.9536,1.3947,2.50,8.76,
medium-11,12,0.5,195.78,49.47,31.0303,34.2490,0.0828,5.00,17.30,
medium-11,12,0.75,293.67,49.47,41.6590,43.7964,0.4883,8.00,24.32,
large-12,13,0.25,105.29,57.63,18.5589,20.7691,1.4537,2.70,9.42,
large-12,13,0.5,210.59,57.63,36.6225,39.3741,0.2968,5.30,19.62,
large-12,13,0.75,315.88,57.63,48.4160,50.6033,0.9286,8.70,28.02,
large-15,16,0.25,165.00,76.87,27.4572,33.1388,0.5362,4.00,17.07,
large-15,16,0.5,330.00,76.87,48.0876,52.9062,1.1755,7.80,30.86,
large-15,16,0.75,494.99,76.87,61.5213,67.6572,0.3966,11.00,47.22,
