n,fraction,budget_min,total_score,greedy_score,greedy_stops,aco_mean,aco_std,aco_best,aco_stops,aco_ms,exact_score
8,0.25,110.44,38.23,8.8983,1,12.4441,0.0000,12.4441,2.00,4.65,12.4441
8,0.5,220.87,38.23,18.0280,3,20.7150,0.2811,20.8556,3.00,7.32,20.8556
8,0.75,331.31,38.23,29.0701,4,30.3319,0.4206,30.4721,4.90,9.67,30.4721
10,0.25,140.09,49.50,12.4187,2,12.4187,0.0000,12.4187,2.00,6.03,12.4187
10,0.5,280.18,49.50,23.6471,4,28.1048,0.5425,28.2856,4.00,11.35,28.2856
10,0.75,420.27,49.50,40.7044,6,40.8080,0.3109,41.7406,6.10,16.08,41.7406
15,0.25,203.84,92.63,31.4127,4,32.5143,0.7437,33.2310,4.00,16.97,
15,0.5,407.69,92.63,55.1457,7,61.2466,0.0000,61.2466,8.00,29.37,
15,0.75,611.53,92.63,71.4883,10,82.8238,1.6292,84.2435,11.80,40.68,
20,0.25,225.98,99.84,30.0907,4,37.9672,2.1672,39.3432,5.00,24.05,
20,0.5,451.97,99.84,64.5315,9,69.9950,0.3329,70.8131,10.10,48.93,
20,0.75,677.95,99.84,82.8214,13,89.0635,0.6200,89.8663,15.00,67.38,
30,0.25,326.53,123.48,39.0513,7,47.1532,0.9128,48.1598,7.00,52.31,
30,0.5,653.06,123.48,73.9956,12,78.5544,1.2534,80.4253,14.40,104.91,
30,0.75,979.59,123.48,99.3695,19,103.5597,1.4001,106.3782,20.30,158.95,
